product_id, title, url, brand, price, frame_size, frame_width, model_no, productKeys, warranty,cost_of_product
7555,Renu Fresh Contact Lens Solution 120 ml,https://www.lenskart.com/renu-fresh-lens-solution-120-ml.html,Bausch & Lomb,260,null,null,Renu Fresh Contact Lens Solution 120 ml,",Eyewear,Contact Lenses,Most Popular Lenses",null,178
38716,Acuvue Moist Daily Disposable with BC 8.5 10Hrs,https://www.lenskart.com/johnson-johnson-moist-acuvue-30-lenses-box-new.html,null,1895,null,null,Acuvue Moist Daily Disposable with BC 8.5 10Hrs,",Eyewear,Contact Lenses,Top Lens Brands,Johnson &amp;amp; Johnson Lenses",null,1159
38720,Bausch & Lomb Soflens Daily Disposable,https://www.lenskart.com/soflens-daily-disposable-30-lens-per-box-bausch-lomb.html,null,1499,null,null,Bausch & Lomb Soflens Daily Disposable,",Eyewear,Contact Lenses,Top Lens Brands,Bausch &amp; Lomb Contact Lenses",null,933
38721,Bausch & Lomb Soflens Toric Monthly Disposable,https://www.lenskart.com/soflens-toric-6-lensesbox-bausch-lomb-W.html,null,1799,null,null,Bausch & Lomb Soflens Toric Monthly Disposable,",Eyewear,Contact Lenses,Top Lens Brands,Bausch &amp; Lomb Contact Lenses",null,1247
38723,Bausch & Lomb Soflens 59 Monthly Disposable,https://www.lenskart.com/soflens-59-6-lens-per-box-bausch-lomb.html,null,1099,null,null,Bausch & Lomb Soflens 59 Monthly Disposable,",Eyewear,Contact Lenses,Top Lens Brands,Bausch &amp; Lomb Contact Lenses",null,711
38724,Bausch & Lomb Yearly Disposable Wear Conventional,https://www.lenskart.com/b4-bausch-lomb-daily-wear-conventional-lens-1-lens-per-box.html,null,799,null,null,Bausch & Lomb Yearly Disposable Wear Conventional,",Eyewear,Contact Lenses,Top Lens Brands,Bausch &amp; Lomb Contact Lenses",null,520
38726,Bausch & Lomb Optima 38 Yearly Disposable,https://www.lenskart.com/optima-38-daily-wear-lens-1-lens-per-box-bausch-lomb.html,null,780,null,null,Bausch & Lomb Optima 38 Yearly Disposable,",Eyewear,Contact Lenses,Top Lens Brands,Bausch &amp; Lomb Contact Lenses",null,496
38745,Bausch & Lomb Purevision 2 Astigmatism Monthly Disposable,https://www.lenskart.com/bausch-lomb-purevision-2-astigmatism-6-lensesbox.html,null,2299,null,null,Bausch & Lomb Purevision 2 Astigmatism Monthly Disposable,",Eyewear,Contact Lenses,Top Lens Brands,Bausch &amp; Lomb Contact Lenses",null,1548
38749,Bausch & Lomb Purevision2 HD Monthly Disposable,https://www.lenskart.com/bausch-lomb-purevision2-hd-contact-lenses-6-lens-per-box.html,null,1649,null,null,Bausch & Lomb Purevision2 HD Monthly Disposable,",Eyewear,Contact Lenses,Top Lens Brands,Bausch &amp; Lomb Contact Lenses",null,1147
38755,Alcon Air Optix Plus Toric Monthly Disposable 24Hrs,https://www.lenskart.com/air-optix-for-astigmatism-3-lensbox.html,null,1149,null,null,Alcon Air Optix Plus Toric Monthly Disposable 24Hrs,",Eyewear,Contact Lenses,Top Lens Brands",null,700
38760,Bausch & Lomb iConnect Monthly Disposable,https://www.lenskart.com/bausch-lomb-iconnect-3-lens-box.html,null,299,null,null,Bausch & Lomb iConnect Monthly Disposable,",Eyewear,Contact Lenses,Top Lens Brands",null,207
112775,Bausch & Lomb Soflens Toric Monthly Disposable,https://www.lenskart.com/soflens-toric-1-lensesbox-bausch-lomb-N.html,null,349,null,null,Bausch & Lomb Soflens Toric Monthly Disposable,",Eyewear,Contact Lenses,Top Lens Brands,Bausch &amp; Lomb Contact Lenses",null,243
112983,Alcon Freshlook Brown Powered Bi-Weekly,https://www.lenskart.com/freshlook-colorblends-brown-color-lenses-2-lens-per-box-alcon.html,null,699,null,null,Alcon Freshlook Brown Powered Bi-Weekly,",Eyewear,Contact Lenses,Top Lens Brands,Alcon Contact Lenses",null,422
112985,Alcon Freshlook Gray Powered Bi-Weekly,https://www.lenskart.com/freshlook-colorblends-gray-color-lenses-2-lens-per-box-alcon.html,null,699,null,null,Alcon Freshlook Gray Powered Bi-Weekly,",Eyewear,Contact Lenses,Top Lens Brands,Alcon Contact Lenses",null,467
113708,Bausch & Lomb iConnect Monthly Disposable,https://www.lenskart.com/iconnect-6-lens-box-bausch-lomb.html,null,499,null,null,Bausch & Lomb iConnect Monthly Disposable,",Eyewear,Contact Lenses,Top Lens Brands,Bausch &amp; Lomb Contact Lenses",null,304
115802,Aqualens Comfort Contact lens Solution 360ML,https://www.lenskart.com/aqualens-comfort-contact-lens-solution-360-ml.html,Aqualens,299,null,null,Aqualens Comfort Contact Lens Solution 360 ml,",Eyewear,Contact Lenses,Top Lens Brands,Aqualens Contact Lens",null,186
